,Fordham ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bre Cavanaugh,2,10,0,4,2,6,3,4,0,8,3,1,0,1,4,9,0.3,3.0
1,Lauren Holden,3,12,0,1,3,11,0,0,1,2,3,0,0,3,1,9,0.0,1.0
2,Mary Goulding,3,11,2,8,1,3,1,2,5,7,3,0,2,2,4,8,0.09090909090909091,1.5
3,Kaitlyn Downey,6,12,3,6,3,6,0,0,2,3,1,2,0,1,1,15,0.0,1.0
4,Kendell Heremaia,2,10,1,2,1,8,1,2,0,5,1,1,0,4,4,6,0.1,0.25
13,School Totals,16,56,6,22,10,34,7,11,10,26,13,4,2,15,14,49,0.125,0.8666666666666667
