,Princeton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bella Alarie,5,12,5,10,0,2,2,2,2,4,4,1,4,1,3,12,0.16666666666666666,4.0
1,Leslie Robinson,2,5,2,5,0,0,5,6,3,3,5,3,0,5,4,9,1.0,1.0
2,Carlie Littlefield,1,6,1,1,0,5,0,0,0,0,1,0,0,0,2,2,0.0,0.0
3,Sydney Jordan,2,5,2,5,0,0,1,2,1,3,0,0,0,0,2,5,0.2,0.0
4,Qalea Ismail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
13,School Totals,20,53,16,33,4,20,13,16,7,18,15,8,4,12,18,57,0.24528301886792453,1.25
