,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Megan Gustafson,12,16,12,16,0,0,5,5,4,13,0,0,0,4,2,29,0.3125,0.0
1,Kathleen Doyle,3,15,1,7,2,8,3,4,0,2,8,1,1,1,2,11,0.2,8.0
2,Alexis Sevillian,1,3,1,2,0,1,0,0,0,1,2,0,0,1,4,2,0.0,2.0
3,Makenzie Meyer,1,4,0,2,1,2,4,4,0,2,3,1,1,3,5,7,1.0,1.0
4,Chase Coley,2,4,2,4,0,0,3,4,0,6,2,0,1,2,1,7,0.75,1.0
8,School Totals,26,56,23,44,3,12,15,17,7,25,17,2,3,14,20,70,0.26785714285714285,1.2142857142857142
