,Creighton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Lamberty,8,12,6,9,2,3,2,4,2,3,6,0,1,2,2,20,0.16666666666666666,3.0
1,Jaylyn Agnew,8,14,4,8,4,6,4,5,0,2,5,2,1,0,2,24,0.2857142857142857,0.0
2,Audrey Faber,3,15,1,5,2,10,4,6,0,4,2,0,3,2,3,12,0.26666666666666666,1.0
3,Myah Mellman,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0
4,Bailey Norby,2,3,2,3,0,0,1,2,1,0,0,0,0,0,2,5,0.3333333333333333,0.0
9,School Totals,25,58,16,34,9,24,17,25,6,17,16,4,5,7,15,76,0.29310344827586204,2.2857142857142856
