,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Macie Michelson,3,9,3,6,0,3,1,2,0,1,2,0,0,0,2,7,0.1111111111111111,0.0
1,Kristin Rotert,1,8,0,5,1,3,4,4,0,4,2,1,1,1,2,7,0.5,2.0
2,Jill Young,3,8,0,1,3,7,0,0,0,1,1,0,0,0,1,9,0.0,0.0
3,Jennie Sunnarborg,3,10,3,9,0,1,1,1,0,0,1,0,0,4,4,7,0.1,0.25
4,Katie Lingle,2,4,2,4,0,0,0,0,1,4,0,1,0,0,5,4,0.0,0.0
11,School Totals,18,51,13,33,5,18,15,18,4,21,12,4,2,11,17,56,0.29411764705882354,1.0909090909090908
