,Xavier ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Special Jennings,3,9,3,8,0,1,4,7,1,4,4,2,1,3,2,10,0.4444444444444444,1.3333333333333333
1,Amber Harris,7,12,7,11,0,1,2,6,2,10,1,0,4,3,0,16,0.16666666666666666,0.3333333333333333
2,Ta'Shia Phillips,11,18,11,18,0,0,5,6,9,6,1,1,1,1,2,27,0.2777777777777778,1.0
3,Tyeasha Moss,4,9,1,4,3,5,2,2,1,0,0,0,0,1,2,13,0.2222222222222222,0.0
4,Megan Askew,0,6,0,5,0,1,3,4,2,1,2,0,0,1,3,3,0.5,2.0
11,School Totals,25,59,22,47,3,12,19,29,15,28,11,6,6,13,15,72,0.3220338983050847,0.8461538461538461
