,Missouri State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alexa Willard,7,15,4,9,3,6,0,0,0,5,0,1,0,2,1,17,0.0,0.0
1,Danielle Gitzen,3,11,2,6,1,5,3,4,3,3,5,0,0,4,2,10,0.2727272727272727,1.25
2,Brice Calip,2,11,2,10,0,1,3,4,2,3,5,2,0,1,1,7,0.2727272727272727,5.0
3,Abby Hipp,5,6,4,5,1,1,0,0,1,3,2,0,0,0,4,11,0.0,0.0
4,Jasmine Franklin,2,4,2,4,0,0,0,0,1,6,0,2,1,1,4,4,0.0,0.0
10,School Totals,25,61,18,43,7,18,12,14,10,26,14,5,2,10,16,69,0.19672131147540983,1.4
