,Purdue ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dominique Oden,6,10,4,5,2,5,2,2,1,2,3,1,0,0,2,16,0.2,0.0
1,Ashley Morrissette,7,19,5,11,2,8,7,9,0,4,10,1,0,3,5,23,0.3684210526315789,3.3333333333333335
2,Ae'Rianna Harris,6,13,6,13,0,0,0,0,2,6,1,2,2,1,2,12,0.0,1.0
3,Andreona Keys,2,8,2,8,0,0,1,1,0,1,1,0,0,2,2,5,0.125,0.5
4,Bridget Perry,7,11,6,9,1,2,7,9,3,6,2,0,2,2,1,22,0.6363636363636364,1.0
8,School Totals,30,68,25,53,5,15,17,21,10,25,20,5,5,11,16,82,0.25,1.8181818181818181
