,Purdue ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Moses,3,12,1,5,2,7,3,3,1,0,3,0,0,3,4,11,0.25,1.0
1,Liza Clemons,4,8,4,8,0,0,1,2,0,2,1,1,0,1,2,9,0.125,1.0
2,April Wilson,2,5,1,2,1,3,1,2,0,4,4,2,0,5,3,6,0.2,0.8
3,Camille Redmon,1,2,1,2,0,0,0,0,2,3,1,0,3,2,2,2,0.0,0.5
4,Dee Dee Williams,0,8,0,6,0,2,1,2,1,2,1,1,0,2,1,1,0.125,0.5
10,School Totals,23,61,18,45,5,16,15,23,13,23,14,9,4,18,22,66,0.2459016393442623,0.7777777777777778
