,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Anriel Howard,1,7,1,7,0,0,0,0,3,2,0,1,0,1,1,2,0.0,0.0
1,Curtyce Knox,4,11,4,9,0,2,2,2,1,2,1,2,0,5,2,10,0.18181818181818182,0.2
2,Danni Williams,4,15,2,8,2,7,0,0,0,4,2,0,0,1,1,10,0.0,2.0
3,Taylor Cooper,0,4,0,1,0,3,0,0,0,2,3,1,0,3,1,0,0.0,1.0
4,Khaalia Hillsman,5,9,5,9,0,0,0,0,3,3,0,0,1,2,4,10,0.0,0.0
10,School Totals,18,58,16,44,2,14,5,8,13,14,6,5,1,14,12,43,0.08620689655172414,0.42857142857142855
