,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kennedy Burke,4,7,3,3,1,4,0,0,0,5,9,1,2,0,2,9,0.0,0.0
1,Kari Korver,7,10,0,0,7,10,0,0,0,3,0,1,0,1,1,21,0.0,0.0
2,Jordin Canada,4,7,3,4,1,3,3,4,1,4,11,1,0,2,1,12,0.42857142857142855,5.5
3,Monique Billings,5,9,5,9,0,0,2,4,1,1,0,3,2,2,0,12,0.2222222222222222,0.0
4,Kelli Hayes,2,2,2,2,0,0,0,0,2,1,0,0,1,0,1,4,0.0,0.0
9,School Totals,30,53,20,29,10,24,5,8,7,21,23,8,6,8,10,75,0.09433962264150944,2.875
