,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ameryst Alston,11,22,10,16,1,6,7,7,1,3,4,2,0,2,1,30,0.3181818181818182,2.0
1,Kelsey Mitchell,9,25,6,15,3,10,4,4,1,5,6,1,0,3,3,25,0.16,2.0
2,Alexa Hart,7,8,7,8,0,0,1,1,1,9,0,1,1,4,2,15,0.125,0.0
3,Cait Craft,1,4,0,0,1,4,2,2,0,3,0,2,0,0,4,5,0.5,0.0
4,Asia Doss,0,1,0,1,0,0,0,0,0,2,1,1,0,1,1,0,0.0,1.0
8,School Totals,32,69,27,49,5,20,15,16,4,25,14,11,1,12,16,84,0.21739130434782608,1.1666666666666667
