,Gonzaga ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Campbell,0,6,0,1,0,5,2,2,1,1,0,1,0,1,4,2,0.3333333333333333,0.0
1,Jessie Loera,4,11,3,7,1,4,2,2,0,3,6,2,1,1,4,11,0.18181818181818182,6.0
2,Chandler Smith,6,12,6,10,0,2,1,1,1,2,3,0,3,1,4,13,0.08333333333333333,3.0
3,LeeAnne Wirth,5,11,5,11,0,0,0,0,1,4,1,0,0,0,5,10,0.0,0.0
4,Zykera Rice,8,13,6,11,2,2,2,2,1,2,0,1,0,1,4,20,0.15384615384615385,0.0
8,School Totals,28,66,25,53,3,13,11,15,8,17,12,6,4,6,27,70,0.16666666666666666,2.0
