,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Whitney Hand,8,14,6,9,2,5,6,8,0,4,2,0,2,5,1,24,0.42857142857142855,0.4
1,Aaryn Ellenberg,7,15,5,9,2,6,1,2,0,2,2,1,0,3,2,17,0.06666666666666667,0.6666666666666666
2,Carlee Roethlisberger,2,6,2,4,0,2,4,4,2,7,1,1,0,2,3,8,0.6666666666666666,0.5
3,Danielle Robinson,7,17,7,17,0,0,5,5,2,3,6,2,0,3,5,19,0.29411764705882354,2.0
4,Nicole Griffin,4,5,4,5,0,0,0,0,2,2,0,1,2,2,4,8,0.0,0.0
8,School Totals,31,67,27,51,4,16,20,23,13,26,12,7,6,22,20,86,0.29850746268656714,0.5454545454545454
