,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,UCLA ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Nikitta Gartrell,35,.452,.375,.250,.417,3.5,18.3,9.9,25.5,1.7,0.0,22.0,28.3,84,115
1,Marissa Kastanek,33,.587,.563,.750,.250,3.7,9.7,6.3,0.0,1.8,0.0,14.5,34.2,105,117
2,Lucy Ellison,32,.202,.000,.000,.500,3.8,10.0,6.5,6.9,1.9,0.0,29.1,11.7,46,117
3,Bonae Holston,28,.566,.571,.000,.286,17.3,11.4,14.8,0.0,2.1,0.0,11.3,17.2,114,116
4,Amber White,26,.389,.389,.333,.000,0.0,6.2,2.7,34.5,6.9,0.0,18.2,23.0,79,107
6,Sharnise Beal,16,.000,.000,.000,.000,0.0,20.0,8.6,0.0,3.7,0.0,50.0,6.8,0,110
7,Brittany Strachan,14,.000,.000,.500,.000,8.7,11.4,9.9,0.0,0.0,6.1,0.0,7.8,26,117
8,Emili Tasler,11,.253,.000,.667,.667,11.0,0.0,6.3,20.2,5.4,0.0,0.0,19.2,84,112
9,Inga Muciniece,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124
10,Kelsie Lliteras,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124
11,Kim Durham,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,124
12,Hanna Halteman,1,,,,,0.0,100.0,69.0,0.0,0.0,0.0,,0.0,,73
13,School Totals,200,.442,.389,.389,.278,27.3,60.0,41.4,44.4,13.4,2.1,17.5,100.0,80.6,110.4
