,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Pedersen,5,12,5,9,0,3,2,5,2,7,4,1,0,1,1,12,0.16666666666666666,4.0
1,Jeanette Pohlen,1,7,1,4,0,3,0,1,0,3,5,3,0,0,2,2,0.0,0.0
2,Nnemkadi Ogwumike,13,25,13,23,0,2,12,13,4,12,2,1,1,2,1,38,0.48,1.0
3,Rosalyn Gold-Onwude,2,9,1,4,1,5,0,0,2,3,1,0,0,1,3,5,0.0,1.0
4,Jayne Appel,5,12,5,12,0,0,3,6,6,4,1,1,1,3,2,13,0.25,0.3333333333333333
7,School Totals,27,69,26,54,1,15,18,27,17,31,13,7,3,7,12,73,0.2608695652173913,1.8571428571428572
