,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danielle Robinson,11,24,11,24,0,0,1,1,1,5,6,0,0,3,1,23,0.041666666666666664,2.0
1,Nyeshia Stevenson,4,7,4,6,0,1,7,11,0,1,0,1,1,2,2,15,1.0,0.0
2,Amanda Thompson,5,15,3,9,2,6,0,0,3,6,0,2,0,1,4,12,0.0,0.0
3,Abi Olajuwon,2,3,2,3,0,0,2,4,1,8,0,0,3,2,4,6,0.6666666666666666,0.0
4,Jasmine Hartman,1,6,0,1,1,5,0,0,1,1,1,0,0,0,1,3,0.0,0.0
8,School Totals,26,68,22,51,4,17,10,16,11,26,7,4,4,9,19,66,0.14705882352941177,0.7777777777777778
