,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,AD Durr,6,17,3,8,3,9,3,3,0,2,0,1,0,1,0,18,0.17647058823529413,0.0
1,Jazmine Jones,7,9,7,9,0,0,1,2,5,4,1,1,0,3,2,15,0.1111111111111111,0.3333333333333333
2,Arica Carter,3,10,3,5,0,5,0,0,2,5,3,1,0,1,5,6,0.0,3.0
3,Sam Fuehring,1,6,1,4,0,2,0,0,4,1,1,0,0,2,5,2,0.0,0.5
4,Myisha Hines-Allen,5,18,4,15,1,3,0,0,0,4,1,4,0,4,3,11,0.0,0.25
9,School Totals,27,70,23,50,4,20,5,7,13,20,7,7,0,11,22,63,0.07142857142857142,0.6363636363636364
