,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sam Thomas,6,12,3,4,3,8,0,0,1,1,1,2,0,2,4,15,0.0,0.5
1,Bendu Yeaney,4,7,3,5,1,2,1,1,0,3,2,0,0,2,3,10,0.14285714285714285,1.0
2,Cate Reese,3,9,3,4,0,5,0,0,1,4,2,0,1,3,2,6,0.0,0.6666666666666666
3,Shaina Pellington,1,9,1,8,0,1,1,2,1,3,3,2,0,2,3,3,0.1111111111111111,1.5
4,Lauren Ware,0,3,0,3,0,0,1,2,3,4,2,0,1,1,3,1,0.3333333333333333,2.0
12,School Totals,17,59,10,32,7,27,4,7,8,21,14,6,3,14,21,45,0.06779661016949153,1.0
