,Albany ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Imani Tate,6,24,6,20,0,4,7,8,5,2,3,0,1,7,3,19,0.2916666666666667,0.42857142857142855
1,Bailey Hixson,1,7,0,0,1,7,0,0,2,2,3,0,0,2,1,3,0.0,1.5
2,Jessica Fequiere,6,11,3,5,3,6,1,2,1,0,0,0,0,1,2,16,0.09090909090909091,0.0
3,Khepera Stokes,1,2,1,1,0,1,0,0,0,0,1,1,0,3,0,2,0.0,0.3333333333333333
4,Heather Forster,0,2,0,2,0,0,1,2,2,1,0,1,0,1,3,1,0.5,0.0
13,School Totals,21,65,17,43,4,22,9,12,13,12,11,3,1,18,17,55,0.13846153846153847,0.6111111111111112
