,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kayla Pedersen,5,13,2,8,3,5,2,2,4,13,3,1,0,0,4,15,0.15384615384615385,0.0
1,Nnemkadi Ogwumike,5,14,5,14,0,0,1,2,1,12,0,0,0,1,4,11,0.07142857142857142,0.0
2,Jeanette Pohlen,4,8,1,3,3,5,0,0,1,1,2,0,0,1,5,11,0.0,2.0
3,Jayne Appel,0,12,0,12,0,0,0,0,4,3,2,0,0,3,3,0,0.0,0.6666666666666666
4,Rosalyn Gold-Onwude,0,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0
9,School Totals,18,68,10,46,8,22,3,4,13,32,11,2,1,10,20,47,0.04411764705882353,1.1
