,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Emily Ryan,10,16,8,11,2,5,0,0,1,7,6,1,0,3,3,22,0.0,2.0
1,Lexi Donarski,4,14,3,8,1,6,2,2,1,2,1,1,0,3,1,11,0.14285714285714285,0.3333333333333333
2,Nyamer Diew,5,11,2,7,3,4,2,4,1,4,0,0,1,0,1,15,0.18181818181818182,0.0
3,Ashley Joens,3,11,2,7,1,4,7,7,2,2,1,1,0,1,3,14,0.6363636363636364,1.0
4,Morgan Kane,1,1,1,1,0,0,0,0,1,2,0,0,0,1,1,2,0.0,0.0
8,School Totals,24,63,16,38,8,25,12,15,9,24,8,3,4,10,18,68,0.19047619047619047,0.8
