,Albany ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Erin Coughlin,3,7,2,3,1,4,0,0,0,2,1,3,0,2,3,7,0.0,0.5
1,Zakiya Saunders,2,6,2,6,0,0,0,0,0,3,3,1,0,4,0,4,0.0,0.75
2,Imani Tate,9,20,9,20,0,0,10,14,1,7,4,5,0,6,2,28,0.5,0.6666666666666666
3,Shereesha Richards,7,10,7,10,0,0,0,0,1,2,2,0,0,3,5,14,0.0,0.6666666666666666
4,Cassandra Edwards,1,3,1,3,0,0,0,0,0,2,1,0,0,0,2,2,0.0,0.0
8,School Totals,25,50,24,46,1,4,10,16,3,19,12,11,2,17,20,61,0.2,0.7058823529411765
