,Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Eleanna Christinaki,3,11,2,6,1,5,4,6,3,2,0,2,0,3,2,11,0.36363636363636365,0.0
1,Haley Lorenzen,4,6,4,6,0,0,0,0,3,2,1,1,0,3,2,8,0.0,0.3333333333333333
2,Ronni Williams,2,5,2,5,0,0,6,6,4,3,2,0,0,5,4,10,1.2,0.4
3,Carlie Needles,0,5,0,1,0,4,0,0,1,1,0,2,0,2,2,0,0.0,0.0
4,Dyandria Anderson,0,1,0,1,0,0,2,2,0,0,1,0,0,1,1,2,2.0,1.0
12,School Totals,19,54,16,35,3,19,17,24,14,18,11,10,3,23,19,59,0.3148148148148148,0.4782608695652174
