,Missouri ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sophie Cunningham,6,16,3,8,3,8,8,8,0,6,4,2,1,3,4,23,0.5,1.3333333333333333
1,Lindsey Cunningham,1,4,1,2,0,2,0,0,1,3,1,1,0,2,1,2,0.0,0.5
2,Cierra Porter,1,3,1,2,0,1,0,0,1,4,1,2,0,5,1,2,0.0,0.2
3,Jordan Frericks,1,5,1,5,0,0,2,4,3,2,2,0,2,2,3,4,0.4,1.0
4,Morgan Stock,1,6,0,1,1,5,0,0,0,0,0,0,0,1,1,3,0.0,0.0
13,School Totals,16,51,8,23,8,28,15,17,7,22,10,7,3,18,17,55,0.29411764705882354,0.5555555555555556
