,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordin Canada,5,16,5,14,0,2,10,12,2,2,3,0,1,5,4,20,0.625,0.6
1,Monique Billings,5,12,5,12,0,0,10,14,5,7,1,3,3,4,2,20,0.8333333333333334,0.25
2,Lajahna Drummer,3,7,3,7,0,0,2,2,4,6,0,0,0,2,4,8,0.2857142857142857,0.0
3,Nirra Fields,2,11,2,8,0,3,0,0,0,1,0,2,1,1,3,4,0.0,0.0
4,Kari Korver,1,6,0,2,1,4,0,0,1,3,3,1,0,0,4,3,0.0,0.0
9,School Totals,19,63,17,49,2,14,24,32,16,21,9,9,5,14,21,64,0.38095238095238093,0.6428571428571429
