,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sam Fuehring,4,10,3,7,1,3,0,0,5,6,1,0,1,1,0,9,0.0,1.0
1,AD Durr,7,14,4,5,3,9,7,7,1,3,5,2,1,3,2,24,0.5,1.6666666666666667
2,Jazmine Jones,4,10,4,10,0,0,2,2,2,0,4,2,0,2,0,10,0.2,2.0
3,Myisha Hines-Allen,8,15,8,14,0,1,1,2,3,2,3,2,0,2,2,17,0.06666666666666667,1.5
4,Arica Carter,4,5,3,3,1,2,4,6,1,1,0,2,0,1,2,13,0.8,0.0
10,School Totals,33,64,27,47,6,17,14,18,12,18,17,9,2,11,12,86,0.21875,1.5454545454545454
