,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,2OT,T
0,Belmont,13,13,10,17,11,9,73
1,Oregon,8,20,12,13,11,6,70
