,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Tennessee ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Justine Raterman,32,.711,.727,.182,.182,3.5,9.4,6.6,0.0,1.6,1.9,7.8,19.1,133,123
1,Kristin Daugherty,23,.384,.389,.111,.333,4.8,4.3,4.6,8.0,0.0,0.0,22.5,27.4,68,130
2,Casey Nance,23,.500,.500,.000,.000,0.0,39.1,20.6,0.0,0.0,5.4,20.0,10.3,80,110
3,Kendel Ross,19,.447,.375,.375,.250,11.7,10.5,11.1,27.7,2.8,3.2,0.0,22.2,117,119
4,Patrice Lalor,16,.333,.333,.333,.000,0.0,0.0,0.0,20.4,3.3,0.0,40.0,14.8,56,123
6,De'Sarae Chambers,19,.279,.250,.250,.250,5.8,5.3,5.5,9.2,0.0,3.2,0.0,22.2,73,127
7,Kayla Moses,19,.250,.250,.125,.000,0.0,10.5,5.5,0.0,0.0,0.0,11.1,22.4,48,128
8,Elle Queen,14,.719,.667,.000,.333,0.0,14.3,7.5,0.0,3.7,0.0,22.5,15.0,111,116
9,Kari Daugherty,12,.750,.750,.500,.000,9.3,8.3,8.8,0.0,0.0,0.0,50.0,15.8,77,127
10,Brittany Wilson,6,1.000,1.000,.000,.000,18.5,16.7,17.5,0.0,8.7,0.0,25.0,31.6,129,107
11,Aundrea Lindsey,6,.000,.000,.500,.000,0.0,16.7,8.8,0.0,8.7,0.0,33.3,23.7,0,107
12,Samantha MacKay,5,.000,.000,.333,.000,0.0,0.0,0.0,59.3,0.0,0.0,25.0,37.9,25,132
13,Olivia Applewhite,4,1.000,1.000,.000,.000,27.8,50.0,39.5,0.0,0.0,0.0,50.0,23.7,98,94
14,Staci Willis,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,132
15,School Totals,200,.459,.446,.200,.154,22.2,62.5,43.4,33.3,7.9,7.7,17.7,100.0,84.2,121.1
