,Marist ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Coffey,4,9,2,5,2,4,2,3,0,2,1,2,0,3,2,12,0.2222222222222222,0.3333333333333333
1,Emma O'Connor,5,9,3,5,2,4,0,0,0,4,2,2,1,4,2,12,0.0,0.5
2,Leanne Ockenden,4,12,3,5,1,7,0,0,1,5,2,0,0,0,4,9,0.0,0.0
3,Casey Dulin,4,12,3,5,1,7,1,2,0,2,3,0,0,2,1,10,0.08333333333333333,1.5
4,Tori Jarosz,2,3,2,3,0,0,0,0,1,1,0,0,0,2,3,4,0.0,0.0
11,School Totals,24,58,16,28,8,30,9,15,4,16,11,4,1,13,18,65,0.15517241379310345,0.8461538461538461
