,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiffany Mitchell,4,11,3,6,1,5,5,6,2,3,7,0,0,1,2,14,0.45454545454545453,7.0
1,Aleighsa Welch,6,8,6,8,0,0,1,1,2,8,2,0,0,0,1,13,0.125,0.0
2,Asia Dozier,4,5,0,0,4,5,0,0,0,1,3,0,0,0,0,12,0.0,0.0
3,Khadijah Sessions,1,2,1,1,0,1,0,0,1,1,2,1,0,1,2,2,0.0,2.0
4,Elem Ibiam,2,3,2,3,0,0,1,2,1,1,1,0,0,2,2,5,0.3333333333333333,0.5
14,School Totals,32,58,24,39,8,19,25,31,9,26,20,5,4,12,19,97,0.43103448275862066,1.6666666666666667
