,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsey Moore,2,2,1,1,1,1,4,5,0,1,11,1,0,7,2,9,2.0,1.5714285714285714
1,Kelsey Griffin,5,12,5,12,0,0,8,14,5,9,3,1,2,2,2,18,0.6666666666666666,1.5
2,Cory Montgomery,3,6,1,3,2,3,1,2,1,3,3,1,0,0,0,9,0.16666666666666666,0.0
3,Dominique Kelley,6,7,5,6,1,1,9,12,1,3,2,1,0,2,1,22,1.2857142857142858,1.0
4,Yvonne Turner,4,11,1,3,3,8,1,3,0,1,0,0,0,0,4,12,0.09090909090909091,0.0
10,School Totals,25,45,17,30,8,15,25,38,7,17,21,4,2,17,12,83,0.5555555555555556,1.2352941176470589
