,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Doreena Campbell,5,14,4,11,1,3,4,4,3,1,6,1,0,4,3,15,0.2857142857142857,1.5
1,Darxia Morris,6,12,3,7,3,5,0,0,0,1,1,2,0,3,5,15,0.0,0.3333333333333333
2,Erica Tukiainen,1,6,1,4,0,2,0,0,3,0,1,0,0,0,2,2,0.0,0.0
3,Markel Walker,4,11,4,10,0,1,3,3,3,6,3,3,1,4,4,11,0.2727272727272727,0.75
4,Jasmine Dixon,6,11,6,10,0,1,1,2,1,4,0,1,1,2,4,13,0.09090909090909091,0.0
10,School Totals,28,62,23,49,5,13,9,10,12,17,16,11,2,18,25,70,0.14516129032258066,0.8888888888888888
