,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maegan Conwright,1,8,0,4,1,4,3,4,0,4,0,1,0,1,1,6,0.375,0.0
1,Adut Bulgak,3,8,3,7,0,1,3,4,1,12,0,0,1,4,3,9,0.375,0.0
2,Leticia Romero,5,9,4,7,1,2,0,0,1,6,6,0,0,5,1,11,0.0,1.2
3,Brittany Brown,3,4,1,1,2,3,0,0,2,2,1,1,0,2,1,8,0.0,0.5
4,Ivey Slaughter,1,3,1,3,0,0,4,6,2,3,1,0,1,0,3,6,1.3333333333333333,0.0
12,School Totals,25,54,20,36,5,18,10,14,8,34,12,4,2,17,14,65,0.18518518518518517,0.7058823529411765
