,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Grace Berger,6,12,6,12,0,0,5,6,1,5,3,3,0,0,0,17,0.4166666666666667,0.0
1,Aleksa Gulbe,3,12,3,9,0,3,3,3,4,11,2,1,0,1,2,9,0.25,2.0
2,Ali Patberg,5,10,4,7,1,3,2,2,0,4,2,0,0,4,2,13,0.2,0.5
3,Nicole Cardano-Hillary,4,7,4,7,0,0,2,4,1,4,1,0,0,0,0,10,0.2857142857142857,0.0
4,MacKenzie Holmes,4,7,4,7,0,0,5,6,0,7,1,0,3,1,3,13,0.7142857142857143,1.0
13,School Totals,25,53,24,47,1,6,19,25,7,33,11,5,3,7,10,70,0.3584905660377358,1.5714285714285714
