,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Destinee Wells,7,20,7,19,0,1,2,2,0,5,2,0,0,2,0,16,0.1,1.0
1,Jamilyn Kinney,0,5,0,0,0,5,0,0,0,1,3,0,0,3,1,0,0.0,1.0
2,Conley Chinn,3,11,2,2,1,9,0,0,0,3,0,1,0,1,2,7,0.0,0.0
3,Tuti Jones,4,15,2,7,2,8,0,1,4,5,1,1,1,1,5,10,0.0,1.0
4,Allison Luly,0,0,0,0,0,0,0,0,2,4,1,0,0,1,5,0,0.0,1.0
10,School Totals,20,63,15,37,5,26,3,5,10,22,9,3,4,13,22,48,0.047619047619047616,0.6923076923076923
