,Clemson ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Danielle Edwards,6,13,4,9,2,4,0,0,0,4,0,3,1,3,3,14,0.0,0.0
1,Simone Westbrook,6,18,6,15,0,3,2,3,0,1,5,1,0,7,1,14,0.1111111111111111,0.7142857142857143
2,Tylar Bennett,2,2,2,2,0,0,1,1,4,2,1,1,4,2,5,5,0.5,0.5
3,Kobi Thornton,6,9,6,9,0,0,0,0,1,7,1,0,4,3,5,12,0.0,0.3333333333333333
4,Destiny Thomas,0,1,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0.0,0.0
10,School Totals,26,63,23,51,3,12,6,7,6,19,10,12,9,23,19,61,0.09523809523809523,0.43478260869565216
