,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bonnie Samuelson,5,8,0,0,5,8,2,2,1,2,0,1,0,2,3,17,0.25,0.0
1,Amber Orrange,6,14,6,13,0,1,0,0,2,2,6,2,0,1,2,12,0.0,6.0
2,Erica McCall,6,9,6,9,0,0,0,0,6,4,0,1,3,1,0,12,0.0,0.0
3,Lili Thompson,1,8,1,6,0,2,0,0,0,1,0,0,0,2,0,2,0.0,0.0
4,Brittany McPhee,1,4,1,3,0,1,1,2,0,5,0,0,0,3,0,3,0.25,0.0
12,School Totals,23,65,18,50,5,15,9,13,14,17,10,6,4,13,11,60,0.13846153846153847,0.7692307692307693
