,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ketty Cornemann,1,8,1,5,0,3,0,0,0,3,0,0,0,3,0,2,0.0,0.0
1,Kristin Rotert,4,10,1,3,3,7,2,2,2,1,3,0,0,5,2,13,0.2,0.6
2,Maria Boever,5,13,3,11,2,2,0,0,2,7,0,2,0,4,3,12,0.0,0.0
3,Macie Michelson,3,7,2,6,1,1,0,0,1,4,2,0,0,3,5,7,0.0,0.6666666666666666
4,Jennifer Schuttloffel,0,1,0,1,0,0,0,0,1,1,2,2,0,2,1,0,0.0,1.0
10,School Totals,21,57,13,39,8,18,7,8,9,22,10,5,0,18,14,57,0.12280701754385964,0.5555555555555556
