,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amanda Thompson,5,15,4,11,1,4,0,0,5,10,3,2,1,4,2,11,0.0,0.75
1,Danielle Robinson,6,13,6,13,0,0,1,1,1,5,8,4,0,4,2,13,0.07692307692307693,2.0
2,Jasmine Hartman,2,6,2,4,0,2,0,0,2,1,1,0,1,0,0,4,0.0,0.0
3,Nyeshia Stevenson,6,14,3,4,3,10,2,2,0,3,1,4,1,2,3,17,0.14285714285714285,0.5
4,Abi Olajuwon,6,10,6,10,0,0,3,4,1,3,0,0,1,1,1,15,0.3,0.0
8,School Totals,27,61,23,45,4,16,10,11,10,24,15,10,4,13,13,68,0.16393442622950818,1.1538461538461537
