,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Grace Berger,7,13,7,13,0,0,4,6,0,6,6,2,0,2,0,18,0.3076923076923077,3.0
1,Ali Patberg,3,6,2,4,1,2,0,0,0,2,4,0,0,1,1,7,0.0,4.0
2,Aleksa Gulbe,6,12,4,7,2,5,1,1,1,6,2,3,0,0,0,15,0.08333333333333333,0.0
3,Nicole Cardano-Hillary,3,8,3,5,0,3,5,6,0,3,5,1,0,1,1,11,0.625,5.0
4,MacKenzie Holmes,9,15,9,14,0,1,1,1,2,6,1,1,0,1,3,19,0.06666666666666667,1.0
11,School Totals,35,64,31,50,4,14,11,15,5,31,23,8,1,6,11,85,0.171875,3.8333333333333335
