,Hawaii ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amy Atwell,8,20,2,5,6,15,7,7,2,11,1,0,0,2,2,29,0.35,0.5
1,Olivia Davies,0,12,0,6,0,6,0,0,0,1,1,1,1,0,3,0,0.0,0.0
2,Daejah Phillips,1,8,1,6,0,2,0,0,2,2,3,1,0,1,3,2,0.0,3.0
3,Kallin Spiller,4,10,2,6,2,4,0,0,3,4,1,0,1,2,2,10,0.0,0.5
4,Kelsie Imai,1,4,1,3,0,1,0,0,1,1,2,1,0,3,2,2,0.0,0.6666666666666666
10,School Totals,16,72,8,38,8,34,9,10,11,22,9,5,2,9,14,49,0.125,1.0
