,Wright State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tay'ler Mingo,4,19,3,17,1,2,5,6,2,2,1,2,0,3,2,14,0.2631578947368421,0.3333333333333333
1,Ivory James,4,20,3,15,1,5,7,9,2,5,0,1,1,2,3,16,0.35,0.0
2,Kim Demmings,5,20,4,12,1,8,1,3,1,1,1,2,1,2,4,12,0.05,0.5
3,Sarah Hunter,0,5,0,5,0,0,3,6,1,0,0,1,0,3,1,3,0.6,0.0
4,Tayler Stanton,3,8,3,8,0,0,1,6,10,4,0,1,1,1,4,7,0.125,0.0
12,School Totals,19,83,16,65,3,18,19,32,20,15,2,9,4,12,14,60,0.2289156626506024,0.16666666666666666
