,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Janee Thompson,5,8,4,6,1,2,3,3,2,2,2,0,0,6,1,14,0.375,0.3333333333333333
1,Samarie Walker,6,10,6,10,0,0,0,0,5,9,0,0,1,1,2,12,0.0,0.0
2,DeNesha Stallworth,5,11,5,11,0,0,1,3,3,6,2,1,5,1,2,11,0.09090909090909091,2.0
3,Kastine Evans,1,5,1,1,0,4,2,2,0,2,1,1,0,3,0,4,0.4,0.3333333333333333
4,Bria Goss,4,7,3,5,1,2,2,2,0,6,2,0,0,1,3,11,0.2857142857142857,2.0
11,School Totals,44,80,37,66,7,14,11,15,15,45,19,4,12,22,22,106,0.1375,0.8636363636363636
