,Massachusetts ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sam Breen,12,19,9,15,3,4,4,4,1,3,1,2,0,0,3,31,0.21052631578947367,0.0
1,Sydney Taylor,7,15,3,7,4,8,3,3,0,2,5,1,0,2,2,21,0.2,2.5
2,Ber'Nyah Mayo,4,14,4,11,0,3,4,4,3,2,1,5,0,0,3,12,0.2857142857142857,0.0
3,Destiney Philoxy,1,7,1,6,0,1,2,2,1,3,6,1,0,7,3,4,0.2857142857142857,0.8571428571428571
4,Angelique Ngalakulondi,2,2,2,2,0,0,0,1,0,1,2,1,0,0,2,4,0.0,0.0
7,School Totals,29,64,22,48,7,16,13,14,8,12,15,10,0,9,17,78,0.203125,1.6666666666666667
