,San Diego State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jene Morris,9,14,8,12,1,2,8,8,0,1,1,0,0,3,1,27,0.5714285714285714,0.3333333333333333
1,Quenese Davis,6,12,3,9,3,3,4,6,3,5,4,1,0,6,0,19,0.3333333333333333,0.6666666666666666
2,Coco Davis,2,5,2,3,0,2,0,0,1,4,3,1,1,4,4,4,0.0,0.75
3,Jessika Bradley,1,7,1,7,0,0,0,0,3,5,3,0,0,1,4,2,0.0,3.0
4,Paris Johnson,3,6,3,6,0,0,0,2,0,5,0,1,1,1,3,6,0.0,0.0
9,School Totals,23,52,19,44,4,8,14,20,10,22,12,6,2,16,17,64,0.2692307692307692,0.75
