,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sarah Miles,7,13,7,12,0,1,1,2,0,1,2,1,0,1,3,15,0.07692307692307693,2.0
1,Liz Repella,7,17,6,13,1,4,2,4,3,9,0,1,1,4,3,17,0.11764705882352941,0.0
2,Asya Bussie,2,4,2,4,0,0,3,8,2,2,1,2,0,1,5,7,0.75,1.0
3,Korinne Campbell,0,4,0,2,0,2,5,6,2,3,0,0,1,4,5,5,1.25,0.0
4,Madina Ali,1,3,1,3,0,0,0,0,1,3,0,3,0,6,4,2,0.0,0.0
8,School Totals,20,47,18,38,2,9,13,22,9,19,3,7,2,18,22,55,0.2765957446808511,0.16666666666666666
