,Samford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ruth Ketcham,3,8,1,4,2,4,0,0,1,3,1,0,0,2,4,8,0.0,0.5
1,Jazmine Powers,1,7,1,7,0,0,0,0,0,4,2,1,1,1,4,2,0.0,2.0
2,Hannah Dawson,1,5,0,2,1,3,0,0,2,0,0,1,1,1,1,3,0.0,0.0
3,Paige Anderson,3,11,3,7,0,4,0,1,1,3,1,0,0,4,2,6,0.0,0.25
4,Taylor Reece,3,7,1,2,2,5,2,2,0,4,0,1,0,3,4,10,0.2857142857142857,0.0
10,School Totals,17,53,10,28,7,25,6,7,6,16,9,5,3,18,16,47,0.11320754716981132,0.5
