,Duke ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tricia Liston,7,10,5,8,2,2,6,6,0,4,3,2,0,1,2,22,0.6,3.0
1,Shay Selby,1,6,1,4,0,2,3,3,2,4,1,0,0,2,2,5,0.5,0.5
2,Chelsea Gray,6,9,6,7,0,2,4,4,0,6,6,4,0,1,2,16,0.4444444444444444,6.0
3,Haley Peters,3,6,2,5,1,1,6,6,1,6,0,0,0,3,3,13,1.0,0.0
4,Elizabeth Williams,4,10,4,10,0,0,3,4,0,3,1,0,3,2,0,11,0.3,0.5
9,School Totals,28,54,24,43,4,11,22,25,7,30,15,6,4,13,14,82,0.4074074074074074,1.1538461538461537
