,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Wisconsin ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Courtnay Pilypaitis,40,.684,.607,.286,.643,0.0,21.6,11.3,30.8,4.3,2.2,10.0,26.7,128,75
1,May Kotsopoulos,38,.507,.550,.300,.800,3.1,8.5,5.9,13.4,3.0,2.3,22.8,24.6,81,84
2,Kendra Seto,32,.438,.438,.500,.000,3.7,20.3,12.3,0.0,1.8,0.0,20.0,16.7,69,83
3,Alissa Sheftic,30,.507,.400,.000,.800,0.0,10.8,5.6,29.1,0.0,11.6,0.0,12.0,121,84
4,Sofia Iwobi,26,.223,.125,.000,.250,4.5,4.2,4.3,0.0,0.0,6.7,0.0,18.2,55,90
6,Lauren Buschmann,19,.504,.400,.000,.400,6.2,17.1,11.9,25.1,3.0,9.2,25.4,22.2,88,75
7,Tonya Young,8,.526,,,,0.0,27.0,14.1,23.8,0.0,0.0,53.2,12.6,71,83
8,Lauren Wheeler,7,.000,.000,.000,.000,0.0,15.4,8.0,27.2,8.2,0.0,0.0,15.3,23,71
9,School Totals,200,.494,.433,.212,.519,11.8,73.0,43.7,66.7,11.4,21.7,14.5,100.0,91.4,78.6
