,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Curtyce Knox,2,10,1,5,1,5,3,4,0,2,5,0,1,6,5,8,0.3,0.8333333333333334
1,Courtney Williams,9,20,9,19,0,1,5,5,2,10,1,0,1,1,2,23,0.25,1.0
2,Courtney Walker,2,8,1,7,1,1,5,6,0,0,2,0,0,1,3,10,0.625,2.0
3,Khaalia Hillsman,4,9,4,9,0,0,1,2,4,6,0,0,2,0,0,9,0.1111111111111111,0.0
4,Achiri Ade,0,1,0,1,0,0,0,0,3,1,1,1,2,2,3,0,0.0,0.5
11,School Totals,22,58,20,50,2,8,14,17,14,22,13,4,6,12,20,60,0.2413793103448276,1.0833333333333333
