,UCLA ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nirra Fields,6,16,5,14,1,2,1,3,1,3,2,2,2,2,1,14,0.0625,1.0
1,Kari Korver,3,7,0,1,3,6,3,5,0,6,6,1,0,1,1,12,0.42857142857142855,6.0
2,Jordin Canada,6,18,6,18,0,0,7,7,1,6,3,4,0,5,3,19,0.3888888888888889,0.6
3,Monique Billings,5,13,5,13,0,0,1,2,6,4,2,1,0,3,4,11,0.07692307692307693,0.6666666666666666
4,Lajahna Drummer,4,8,4,8,0,0,0,2,6,6,1,0,1,1,3,8,0.0,1.0
8,School Totals,27,69,22,56,5,13,13,21,18,27,15,10,3,13,19,72,0.18840579710144928,1.1538461538461537
