,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Williams,10,32,7,23,3,9,6,6,3,6,0,1,1,2,2,29,0.1875,0.0
1,Alisia Jenkins,7,12,6,11,1,1,8,9,4,5,2,4,0,2,2,23,0.6666666666666666,1.0
2,Laura Ferreira,0,4,0,3,0,1,0,0,3,5,1,0,0,1,4,0,0.0,1.0
3,Shalethia Stringfield,2,7,2,7,0,0,1,2,0,5,4,1,0,7,5,5,0.14285714285714285,0.5714285714285714
4,Katelyn Weber,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0
10,School Totals,23,67,17,49,6,18,15,17,11,26,7,6,1,13,18,67,0.22388059701492538,0.5384615384615384
