,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chanel Mokango,9,19,9,18,0,1,2,4,5,4,2,0,4,2,5,20,0.10526315789473684,1.0
1,Alexis Rack,4,14,1,4,3,10,2,2,1,3,6,1,0,4,0,13,0.14285714285714285,1.5
2,Armelie Lumanu,4,11,4,11,0,0,3,5,8,7,6,2,0,4,2,11,0.2727272727272727,1.5
3,Mary Kathryn Govero,7,14,2,4,5,10,0,0,3,3,3,0,0,2,4,19,0.0,1.5
4,Rima Kalonda,0,0,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0.0,1.0
9,School Totals,27,65,17,41,10,24,7,11,19,19,21,4,4,14,17,71,0.1076923076923077,1.5
