,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jacinta Monroe,4,8,4,8,0,0,3,4,3,5,3,0,5,0,3,11,0.375,0.0
1,Courtney Ward,4,10,2,6,2,4,4,4,1,4,7,0,0,2,3,14,0.4,3.5
2,Alysha Harvin,7,13,3,3,4,10,3,4,0,1,2,2,2,1,1,21,0.23076923076923078,2.0
3,Angel Gray,2,5,2,3,0,2,0,0,0,1,3,0,0,3,2,4,0.0,1.0
4,Chasity Clayton,1,4,1,4,0,0,0,0,0,2,1,1,0,0,0,2,0.0,0.0
8,School Totals,29,57,23,39,6,18,10,12,9,22,20,5,7,13,15,74,0.17543859649122806,1.5384615384615385
