,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Northwestern ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Veronica Burton,40,4,12,.333,2,7,.286,2,5,.400,3,5,.600,2,2,4,5,2,0,1,4,13
1,Lindsey Pulliam,40,1,11,.091,1,11,.091,0,0,,2,4,.500,0,4,4,2,3,1,1,3,4
2,Jordan Hamilton,38,6,17,.353,3,8,.375,3,9,.333,2,2,1.000,1,4,5,2,1,0,3,2,17
3,Sydney Wood,35,2,6,.333,2,6,.333,0,0,,0,0,,3,4,7,4,2,2,2,4,4
4,Paige Mott,8,1,3,.333,1,3,.333,0,0,,0,0,,0,4,4,0,0,0,1,2,2
6,Courtney Shaw,31,5,11,.455,5,11,.455,0,0,,0,2,.000,3,2,5,0,2,3,2,3,10
7,Lauryn Satterwhite,7,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3
8,School Totals,199,20,61,.328,14,46,.304,6,15,.400,7,13,.538,9,20,29,14,10,6,10,18,53
