,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Nnemkadi Ogwumike,6,13,6,13,0,0,7,12,7,4,1,1,0,1,2,19,0.5384615384615384,1.0
1,Jeanette Pohlen,5,8,1,3,4,5,2,2,0,4,3,1,0,1,0,16,0.25,3.0
2,Kayla Pedersen,4,15,4,11,0,4,7,7,4,8,1,1,0,2,0,15,0.4666666666666667,0.5
3,Rosalyn Gold-Onwude,2,4,1,2,1,2,0,0,0,3,1,0,0,1,0,5,0.0,1.0
4,Jayne Appel,3,5,3,5,0,0,1,2,0,2,2,0,0,1,2,7,0.2,2.0
14,School Totals,27,61,21,42,6,19,19,25,16,28,11,6,1,8,11,79,0.3114754098360656,1.375
