,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashleigh Fontenette,5,12,5,11,0,1,4,7,1,1,3,3,0,4,4,14,0.3333333333333333,0.75
1,Kathleen Nash,1,7,0,1,1,6,0,0,2,3,1,3,0,2,0,3,0.0,0.5
2,Brittainey Raven,3,13,3,12,0,1,0,0,2,1,2,1,0,3,5,6,0.0,0.6666666666666666
3,Earnesia Williams,2,8,2,7,0,1,6,8,4,3,2,2,1,2,3,10,0.75,1.0
4,Ashley Gayle,2,2,2,2,0,0,0,3,3,5,0,0,1,0,3,4,0.0,0.0
9,School Totals,22,66,21,53,1,13,18,31,13,25,11,12,4,14,24,63,0.2727272727272727,0.7857142857142857
