,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alison Lacey,4,10,3,6,1,4,0,0,1,3,3,0,0,5,2,9,0.0,0.6
1,Anna Prins,4,14,2,8,2,6,0,0,0,3,0,0,0,2,1,10,0.0,0.0
2,Kelsey Bolte,0,3,0,2,0,1,0,0,0,4,3,2,0,0,0,0,0.0,0.0
3,Chelsea Poppens,4,8,4,8,0,0,0,0,3,6,0,1,1,2,2,8,0.0,0.0
4,Denae Stuckey,1,4,0,1,1,3,0,0,1,2,1,0,0,3,2,3,0.0,0.3333333333333333
11,School Totals,15,53,9,28,6,25,0,0,5,23,10,3,1,17,11,36,0.0,0.5882352941176471
