,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Owusu,4,9,4,8,0,1,2,3,0,4,5,0,0,3,3,10,0.2222222222222222,1.6666666666666667
1,Diamond Miller,7,15,6,11,1,4,6,7,1,7,2,0,2,1,3,21,0.4,2.0
2,Mimi Collins,2,4,2,2,0,2,0,0,1,4,2,0,0,1,2,4,0.0,2.0
3,Chloe Bibby,6,12,4,5,2,7,0,0,2,3,0,1,1,2,3,14,0.0,0.0
4,Katie Benzan,2,9,0,2,2,7,0,0,0,5,5,2,0,0,4,6,0.0,0.0
8,School Totals,24,60,19,38,5,22,8,10,10,24,16,5,3,11,19,61,0.13333333333333333,1.4545454545454546
