,Temple ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kristen McCarthy,1,10,1,5,0,5,0,0,1,2,0,1,0,1,2,2,0.0,0.0
1,Jasmine Stone,3,8,3,8,0,0,1,2,3,5,2,0,0,2,1,7,0.125,1.0
2,Marli Bennett,3,8,1,4,2,4,1,2,2,1,0,1,0,2,4,9,0.125,0.0
3,LaKeisha Eaddy,0,4,0,2,0,2,0,0,0,1,2,2,0,2,0,0,0.0,1.0
4,Kristie Watkins-Day,1,2,1,1,0,1,0,0,0,0,1,3,0,2,3,2,0.0,0.5
9,School Totals,14,60,9,36,5,24,3,9,12,12,10,12,0,14,16,36,0.05,0.7142857142857143
