,UNC Asheville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chatori Major,4,19,2,11,2,8,0,0,0,1,0,0,0,3,5,10,0.0,0.0
1,Zip Scott,1,6,0,2,1,4,0,0,2,5,1,1,0,1,1,3,0.0,1.0
2,Khaila Webb,4,10,2,8,2,2,2,4,0,2,4,0,1,4,2,12,0.2,1.0
3,Bronaza Fitzgerald,4,9,4,9,0,0,1,2,4,1,0,0,0,0,3,9,0.1111111111111111,0.0
4,KJ Weaver,1,6,1,6,0,0,2,2,5,2,0,0,0,1,1,4,0.3333333333333333,0.0
8,School Totals,15,58,10,43,5,15,5,8,11,12,6,2,1,14,14,40,0.08620689655172414,0.42857142857142855
