,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,A'ja Wilson,7,11,7,11,0,0,4,5,2,3,1,1,1,0,1,18,0.36363636363636365,0.0
1,Tyasha Harris,2,3,2,3,0,0,0,1,0,5,7,1,0,0,2,4,0.0,0.0
2,Kaela Davis,2,10,0,4,2,6,0,0,4,5,1,1,0,3,3,6,0.0,0.3333333333333333
3,Allisha Gray,11,13,11,12,0,1,0,1,7,5,3,0,1,0,2,22,0.0,0.0
4,Bianca Cuevas-Moore,8,10,7,7,1,3,1,1,0,0,3,4,0,1,1,18,0.1,3.0
10,School Totals,37,65,33,47,4,18,12,16,16,24,20,10,3,5,15,90,0.18461538461538463,4.0
