,Florida State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Leticia Romero,6,23,5,19,1,4,3,4,3,3,6,2,0,0,2,16,0.13043478260869565,0.0
1,Imani Wright,5,16,4,7,1,9,0,0,2,1,1,2,0,2,3,11,0.0,0.5
2,Brittany Brown,3,9,3,7,0,2,2,2,1,0,4,3,0,4,1,8,0.2222222222222222,1.0
3,Ivey Slaughter,2,6,2,6,0,0,2,2,4,6,1,2,0,2,2,6,0.3333333333333333,0.5
4,Shakayla Thomas,3,8,3,8,0,0,2,3,3,5,0,1,0,1,3,8,0.25,0.0
9,School Totals,26,71,24,56,2,15,10,13,16,17,12,10,1,11,18,64,0.14084507042253522,1.0909090909090908
